blocklevel;cycle;balance;full_balance;current_frozen_deposits;frozen_deposits;staking_balance;delegated_balance;attestation_power;unstaked_frozen_deposits;balance_updates
10497;82;14831046145;72034495669;57203449524;57176878711;572034495233;499999999564;436;[ { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" } ];
10623;82;14864659585;72071842181;57207182596;57176878711;572071841745;499999999564;443;[ { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" } ];
10624;82;14899226603;72110251733;57211025130;57176878711;572110251297;499999999564;428;[ { "cycle": 77, "deposit": "0" }, { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3840956", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34568596", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-1578", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "1578", "origin": "block" }
10625;83;14899226603;72110251733;57211025130;57182588178;572110251297;499999999564;466;[ { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" } ];
10751;83;14941243403;72156934873;57215691470;57182588178;572156934437;499999999564;441;[ { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" } ];
10752;83;14975810026;72195344425;57219534399;57182588178;572195343989;499999999564;459;[ { "cycle": 78, "deposit": "0" }, { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3840956", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34568596", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-1973", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "1973", "origin": "block" }
10753;84;14975810026;72195344425;57219534399;57190630816;572195343989;499999999564;414;[ { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" } ];
10879;84;15017826826;72242027565;57224200739;57190630816;572242027129;499999999564;470;[ { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" } ];
10880;84;15056593732;72285104099;57228510367;57190630816;572285103663;499999999564;458;[ { "cycle": 79, "deposit": "0" }, { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" } ];{ "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "1981", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "233334", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "2099999", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "233300", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "2099700", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3840822", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34567398", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-2172", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "2172", "origin": "block" }
10881;85;15056593732;72285104099;57228510367;57199606331;572285103663;499999999564;445;[ { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" } ];
